ins,commune,population
01000,Belgique,11492641
02000,Région flamande,6629143
03000,Région wallonne,3645243
04000,Région de Bruxelles-Capitale,1218255
10000,Province d’Anvers,1869730
11000,Arrondissement d’Anvers,1057736
11001,Aartselaar,14427
11002,Anvers,529247
11004,Boechout,13372
11005,Boom,18555
11007,Borsbeek,10949
11008,Brasschaat,38223
11009,Brecht,29454
11013,Edegem,22261
11016,Essen,19162
11018,Hemiksem,11634
11021,Hove (Anvers),8277
11022,Kalmthout,18872
11023,Kapellen (Anvers),26981
11024,Kontich,21203
11025,Lint,8641
11029,Mortsel,26157
11030,Niel,10546
11035,Ranst,19187
11037,Rumst,15050
11038,Schelle,8529
11039,Schilde,19873
11040,Schoten,34316
11044,Stabroek,18789
11050,Wijnegem,9983
11052,Wommelgem,12943
11053,Wuustwezel,21213
11054,Zandhoven,13071
11055,Zoersel,22065
11056,Zwijndrecht,19154
11057,Malle,15602
12000,Arrondissement de Malines,347125
12002,Berlaar,11656
12005,Bonheiden,15078
12007,Bornem,21353
12009,Duffel,17664
12014,Heist-op-den-Berg,42950
12021,Lierre,36646
12025,Malines,86921
12026,Nijlen,22936
12029,Putte,17927
12035,Sint-Katelijne-Waver,21026
12040,Willebroek,26826
12041,Puurs-Sint-Amands,26142
13000,Arrondissement de Turnhout,464869
13001,Arendonk,13290
13002,Baerle-Duc,2865
13003,Balen,22813
13004,Beerse,18128
13006,Dessel,9605
13008,Geel,40709
13010,Grobbendonk,11172
13011,Herentals,28272
13012,Herenthout,9109
13013,Herselt,14521
13014,Hoogstraten,21424
13016,Hulshout,10471
13017,Kasterlee,18882
13019,Lille,16564
13021,Meerhout,10324
13023,Merksplas,8588
13025,Mol,37022
13029,Olen,12560
13031,Oud-Turnhout,13977
13035,Ravels,15023
13036,Retie,11508
13037,Rijkevorsel,12178
13040,Turnhout,45280
13044,Vorselaar,7936
13046,Vosselaar,11343
13049,Westerlo,25119
13053,Laakdal,16186
20001,Province du Brabant flamand,1155843
20002,Province du Brabant wallon,406019
21000,Arrondissement de Bruxelles-Capitale,1218255
21001,Anderlecht,120887
21002,Auderghem,34404
21003,Berchem-Sainte-Agathe,25502
21004,Bruxelles,185103
21005,Etterbeek,48473
21006,Evere,42656
21007,Forest (Bruxelles-Capitale),56581
21008,Ganshoren,25234
21009,Ixelles,87632
21010,Jette,52728
21011,Koekelberg,21959
21012,Molenbeek-Saint-Jean,97979
21013,Saint-Gilles,49678
21014,Saint-Josse-ten-Noode,27497
21015,Schaerbeek,132799
21016,Uccle,83980
21017,Watermael-Boitsfort,25332
21018,Woluwe-Saint-Lambert,57712
21019,Woluwe-Saint-Pierre,42119
23000,Arrondissement de Hal-Vilvorde,643766
23002,Asse,33505
23003,Beersel,25343
23009,Biévène,2178
23016,Dilbeek,43423
23023,Gammerages,8836
23024,Gooik,9189
23025,Grimbergen,37972
23027,Hal (Hal-Vilvorde),40182
23032,Herne,6699
23033,Hoeilaart,11408
23038,Kampenhout,12129
23039,Kapelle-op-den-Bos,9501
23044,Liedekerke,13397
23045,Londerzeel,18861
23047,Machelen (Hal-Vilvorde),15605
23050,Meise,19627
23052,Merchtem,16766
23060,Opwijk,14746
23062,Overijse,25497
23064,Pepingen,4537
23077,Sint-Pieters-Leeuw,34621
23081,Steenokkerzeel,12279
23086,Ternat,16012
23088,Vilvorde,45495
23094,Zaventem,34782
23096,Zemst,23260
23097,Roosdaal,11665
23098,Drogenbos,5653
23099,Kraainem,13853
23100,Linkebeek,4696
23101,Rhode-Saint-Genèse,18519
23102,Wemmel,16814
23103,Wezembeek-Oppem,14269
23104,Lennik,9096
23105,Affligem,13351
24000,Arrondissement de Louvain,512077
24001,Aarschot,30183
24007,Begijnendijk,10256
24008,Bekkevoort,6332
24009,Bertem,10141
24011,Bierbeek,10162
24014,Boortmeerbeek,12629
24016,Boutersem,8242
24020,Diest,24234
24028,Geetbets,6136
24033,Haacht,14854
24038,Herent,21920
24041,Hoegaarden,6863
24043,Holsbeek,10062
24045,Huldenberg,9943
24048,Keerbergen,12954
24054,Kortenaken,7892
24055,Kortenberg,20289
24059,Landen,16096
24062,Louvain,102275
